x,y,label,cell_type,cell_size_pixel
76.245,108.03,579,Keratin-positive tumor,598
540.345,107.64,580,Keratin-positive tumor,956
719.745,107.83500000000001,581,Keratin-positive tumor,652
419.64,108.22500000000001,582,Macrophages,484
476.19,108.22500000000001,583,Macrophages,481
273.39,108.42000000000002,584,Keratin-positive tumor,467
593.775,108.42000000000002,585,Macrophages,417
365.04,109.59,587,Endothelial,423
261.495,111.345,588,Keratin-positive tumor,782
377.91,111.345,589,Macrophages,748
700.44,109.59,590,Macrophages,567
36.66,113.88,591,Keratin-positive tumor,830
208.45499999999998,109.59,592,Keratin-positive tumor,555
231.66000000000003,111.345,593,Keratin-positive tumor,648
511.095,108.42,594,Macrophages,177
331.305,109.39500000000001,595,Macrophages,372
171.015,111.93,597,Keratin-positive tumor,404
185.445,111.735,598,Keratin-positive tumor,548
200.265,110.565,599,Keratin-positive tumor,243
504.46500000000003,110.37,600,Macrophages,328
764.205,109.785,601,Keratin-positive tumor,293
93.795,113.295,602,Macrophages,884
748.605,110.76,603,Macrophages,325
178.815,112.905,604,Keratin-positive tumor,476
611.715,110.565,605,Macrophages,268
683.28,111.15,606,Mono / Neu,383
775.32,112.515,607,Keratin-positive tumor,225
12.09,112.32,608,Keratin-positive tumor,104
553.995,111.345,610,Macrophages,181
662.61,112.125,611,Mono / Neu,268
18.330000000000002,113.295,612,Macrophages,513
710.7750000000001,114.66,613,Macrophages,549
140.59500000000003,113.49000000000001,614,Macrophages,333
226.005,116.61000000000001,615,Keratin-positive tumor,961
121.68,114.66,616,Keratin-positive tumor,1283
163.60500000000002,114.075,617,Macrophages,584
299.32500000000005,117.78,618,Keratin-positive tumor,1457
509.535,113.49000000000001,619,Keratin-positive tumor,164
533.52,114.075,620,Keratin-positive tumor,298
195.39,115.245,621,Keratin-positive tumor,529
325.65,114.27000000000001,622,Macrophages,302
466.83000000000004,114.075,623,Macrophages,214
543.855,113.685,624,Keratin-positive tumor,157
725.79,116.22,625,Keratin-positive tumor,973
565.8900000000001,118.17,626,Keratin-positive tumor,982
59.67,116.805,627,Keratin-positive tumor,830
250.185,117.0,628,Keratin-positive tumor,549
551.2650000000001,114.465,629,Macrophages,378
754.4549999999999,115.05000000000001,630,Macrophages,196
45.63,118.17000000000002,631,Keratin-positive tumor,716
389.22,116.805,632,Macrophages,336
474.43500000000006,118.17000000000002,633,Macrophages,547
483.6,117.0,634,Macrophages,305
451.03499999999997,116.805,635,Keratin-positive tumor,446
644.6700000000001,117.58500000000001,636,DC / Mono,457
760.3050000000001,116.61000000000001,637,Macrophages,396
434.46000000000004,118.75500000000001,639,Macrophages,785
654.4200000000001,119.14500000000001,640,Macrophages,647
77.805,117.97500000000001,641,Keratin-positive tumor,281
343.395,117.19500000000001,642,Keratin-positive tumor,162
530.79,119.34,643,Tregs,540
543.27,120.9,644,Keratin-positive tumor,553
780.39,120.705,645,Keratin-positive tumor,799
205.53,118.56,646,Keratin-positive tumor,397
245.31,118.95,648,Keratin-positive tumor,838
510.31500000000005,124.995,649,Keratin-positive tumor,1475
683.865,121.68,650,Macrophages,831
19.89,119.73,651,Macrophages,255
29.055,123.24,653,Keratin-positive tumor,774
