"","EndothelialCells","EpithelialCells","Fibroblasts","Other","NK","BCells","PlasmaCells","DC","CD4-T","CD8-T","Macrophages","OtherImmune"
"T_BB117",0.267022654105786,97.1962616832911,0.400534093308211,0.80106807446689,0.141431513762159,0.0546868522194543,0.00188575301838641,0.00942876776215904,0.31436265519311,0.1617373081066,0.372815484796855,0.278765158634158
"T_BB118",3.91940383374893,29.6991443754465,10.2953353885928,13.4695003958068,1.81068804745481,0.834443612009867,0.119985335084777,0.207247416335804,18.6433656316328,6.96318474777136,6.32352871097908,7.71417248095401
"T_BB119",2.8917084932349,49.1590439314081,3.068751840287,31.690764225159,1.02419205602315,0.385468650352655,0.0577271945356027,0.163870727908526,2.94307763278912,1.10579159454124,3.84202636660147,3.6675772937364
"T_BB120a",2.20385680293999,56.6115702447704,8.40220380146354,9.71074379871536,0.778059487520584,0.81510995688566,0.0555756694401755,0.265528244579645,8.68221937140929,6.19655172439776,1.89944287864637,4.37913802607937
"T_BB121",1.9183168105646,79.7029703064157,4.05321779245084,5.25990103267135,0.277551121674114,0.379212285487644,0.122638866873158,0.0322733879277982,2.24408726470354,2.44777866495051,2.26397620807265,1.29807626727366
"T_BB123",1.76916602830084,25.3580455023316,8.08761588486929,38.6689131107887,1.98602732657293,1.17506617758065,0.264803645284142,0.0496506916521077,10.6989499110226,3.30604199110472,1.30410277252167,7.33161694780889
"T_BB127",2.39890331478004,37.8341329594022,5.55174778171332,6.95681976308146,2.06033587661112,4.40385639758034,0.807187867841103,0.486096555030269,21.7107085164903,6.84537492143672,7.46438643001635,3.48044964506214
"T_BB129",2.42604283695033,41.0818170717752,1.869043151975,0.346577532207341,2.0089826764736,0.498469366711522,0.445601431536082,0.811900906032486,10.9077789751264,4.83456920708192,28.6762269058295,6.09298987313708
"T_BB131",9.19140869605803,26.9109286242795,8.68603911652938,38.7871131023467,0.893850914234999,0.439942239792632,0.0907817348884735,0.0768153166632484,3.23799549914516,3.76592955250588,2.96554232941275,4.9536528964057
"T_BB136",0.213675189732632,41.8803419055446,0,24.7863248397545,0.717241004157513,5.99107191318397,0.042190635614092,0.042190635614092,11.3768309079422,3.38344413314652,1.61927704165304,9.9474117936568
"T_BB137",0.220135311434962,1.9932458330176,0.415057276977067,0.847769878798261,3.5609067858256,2.94941466598154,24.9010601013059,0.227585436974182,30.2165979079925,27.5983787955432,3.92284888675906,3.14699912436488
"T_BB140",1.06257382771278,42.5029515291725,5.4309327352152,30.9327036284212,1.44006014714286,0.0900037604508563,0.0900037604508563,0.0900037604508563,5.35304615319834,2.63115827373287,2.1518004007829,8.22476204333967
"T_BB142",1.27729711005866,57.1899464215792,4.82076639570087,4.32632875675795,0.716205531892424,2.6343191586791,0.304593168409075,0.156412704600805,13.5604392092541,1.8626976898027,3.76687504325617,9.38411881000891
"T_BB143",1.85185178963088,3.36700334371209,1.6835017706776,35.3535354054416,2.21911125551706,3.72999553425007,0.0708226861295831,0.23607563967998,15.9655287018294,8.14857843890295,2.70675114181556,24.6672442346691
"T_BB144",6.59813278067762,59.5090737815514,17.1509493183099,3.31480120955798,0.591894087763519,0.992293045677333,0.0770954486882534,0.100721471986875,3.39386203532049,3.75790505998854,3.07035440405317,1.44291736033567
"T_BB145",0.988875193054038,4.69715696713029,6.42768846931355,23.8566131044311,1.86328307350954,2.70683237131162,0.517875206272962,0.784821223873172,29.4210643642112,20.1927349415356,2.18618286657017,6.35687221878666
"T_BB146",2.21965987146159,12.0495820401355,21.7641971726928,26.4629575903922,0.726276930282923,2.84657558489665,1.28292997569747,0.111091711129727,13.2872046028027,9.67341348010017,2.34408208740902,7.23203067246826
